stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
240,400215,"Peachtree St at Renaissance Pkwy",,33.768489,-84.385154,,,,,,0
244,400302,"Peachtree-Dunwoody Rd at Concourse Pkwy",,33.916887,-84.351407,,,,,,0
245,400303,"Peachtree-Dunwoody Rd at Concourse Pkwy",,33.916068,-84.351139,,,,,,0
246,400304,"Perimeter Center at Perimeter Center Pkwy",,33.927590,-84.344090,,,,,,0
247,400305,"Perimeter Center West at Perimeter Center Pkwy",,33.927487,-84.344202,,,,,,0
248,400306,"Perimeter Center Pkwy Office Park (N)",,33.925559,-84.345089,,,,,,0
249,400307,"Perimeter Center Pkwy Office Park (S)",,33.925596,-84.345206,,,,,,0
250,400308,"Medical Center MARTA Station",,33.910562,-84.351482,,,,,,0
251,400309,"Sandy Springs MARTA Station",,33.931592,-84.350765,,,,,,0
252,400310,"Dunwoody MARTA Station",,33.921365,-84.344273,,,,,,0
281,400502,"Thornton Rd (N) at Bankhead Hwy",,33.797560,-84.643580,,,,,,0
282,400503,"Thornton Rd (S) at Maxham Rd",,33.789376,-84.623716,,,,,,0
283,400504,"Thornton Rd (N) at Maxham Rd",,33.789760,-84.623791,,,,,,0
284,400505,"Thornton Rd (N) at North Blairs Bridge Rd",,33.779532,-84.606890,,,,,,0
285,400506,"Thornton Rd (S) at North Blairs Bridge Rd",,33.779478,-84.607226,,,,,,0
286,400507,"Thornton Rd at Oak Ridge Rd",,33.783393,-84.609768,,,,,,0
287,400508,"Thornton Rd at Skyview Dr",,33.781940,-84.608867,,,,,,0
288,400509,"Thornton Rd at Westfork Blvd",,33.792292,-84.630100,,,,,,0
289,400601,"Lindbergh Center MARTA Station",,33.821361,-84.369040,,,,,,0
321,600001,"Baker St at Peachtree St",,33.762346,-84.387030,,,,,,0
322,600002,"Central Ave at Wall St",,33.752425,-84.388418,,,,,,0
323,600004,"Forsyth St at MLK Jr Dr",,33.752359,-84.393969,,,,,,0
324,600005,"John Portman Blvd at Courtland St",,33.760902,-84.384531,,,,,,0
325,600006,"Peachtree Center Ave at Auburn Ave",,33.755326,-84.386040,,,,,,0
326,600007,"Civic Center MARTA Station (northbound)",,33.766499,-84.387414,,,,,,0
327,600008,"Civic Center MARTA Station (southbound)",,33.765761,-84.387636,,,,,,0
328,600011,"West Peachtree St at Peachtree Pl",,33.780610,-84.387337,,,,,,0
329,600012,"West Peachtree St at 5th St",,33.776090,-84.387242,,,,,,0
330,600013,"North Ave MARTA Station",,33.772122,-84.387263,,,,,,0
331,600014,"West Peachtree St after 14 St",,33.786951,-84.387714,,,,,,0
332,60013,"Sugarloaf Mills GCT Park and Ride",,33.983528,-84.084139,,,,,,0
333,610001,"Baker St at Peachtree St",,33.762347,-84.387038,,,,,,0
337,900725,"Peachtree St at Baker St",,33.762542,-84.387413,,,,,,0
338,900781,"Courtland St at Ellis St",,33.758707,-84.384313,,,,,,0
339,900786,"Peachtree Center Ave at Andrew Young Int'l Blvd",,33.759438,-84.385997,,,,,,0
340,901241,"17th St before Spring St",,33.791971,-84.388937,,,,,,0
341,901242,"17th St at Market St",,33.791329,-84.394773,,,,,,0
365,400026,"West Conyers Park and Ride (MT/Peri)",,33.685082,-84.056727,,,,,,0
366,400201,"Ponce De Leon Ave at W Peachtree St",,33.772409,-84.387619,,,,,,0
367,400501,"Thornton Rd (S) at Bankhead Hwy",,33.797373,-84.643698,,,,,,0
369,400030,"Hickory Grove Park and Ride",,34.065810,-84.610719,,,,,,0
