stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1908,25,Forsyth Street @ MLK Jr. Dr. (SB),,33.752240999999998,-84.393960000000007,,,0,,0
1909,22,Martin Luther King Jr. Drive & Peachtree,,33.751922,-84.391716000000002,,,0,,0
191,191,Buford Hwy & Jones Mills Rd,,33.925893000000002,-84.247838000000002,,,0,,0
1910,58,Peachtree Pkwy & Quicktrip IBOB (End of ,,33.976678,-84.218486999999996,,,0,,0
1911,26,Peachtree Center Ave @ Andrew Young Intl,,33.759596000000002,-84.385991000000004,,,0,,0
1912,28,Shackleford Rd & Kaiser Permanente Bldg,,33.946362000000001,-84.134771999999998,,,0,,0
1913,69,Steve Reynolds Blvd & Beaver Ruin Rd,,33.929989999999997,-84.147099999999995,,,0,,0
1914,80,Baker St & Peachtree St (SunTrust),,33.762314000000003,-84.387348000000003,,,0,,0
1915,106,N Berkeley Lake Rd & The Estates Apts OB,,33.971299999999999,-84.155255999999994,,,0,,0
1916,107,N Berkeley Lake Rd & Marquis @ Nberkeley,,33.968887000000002,-84.151212000000001,,,0,,0
1917,108,N Berkeley Lake Rd & Wal-Mart OB,,33.969059000000001,-84.149375000000006,,,0,,0
1918,127,Boggs Rd & Astor Place Apartments,,33.951301000000001,-84.092138000000006,,,0,,0
1919,136,Boggs Rd & Post Office  (First Entrance),,33.958551,-84.093740999999994,,,0,,0
1920,137,Boggs Rd & Post Office (3rd entrance),,33.956657999999997,-84.094013000000004,,,0,,0
1921,143,3350 Breckinridge Blvd,,33.954203999999997,-84.121111999999997,,,0,,0
1922,162,Brook Hollow Pkwy & Chevron Gas Station,,33.930185999999999,-84.178400999999994,,,0,,0
1923,173,Brook Hollow Pkwy & Jimmy Carter Blvd OB,,33.918163,-84.207817000000006,,,0,,0
1924,181,Beaver Ruin Rd & Buford Hwy (Las Tortas),,33.943939999999998,-84.203064999999995,,,0,,0
1925,190,Buford Hwy & S. Peachtree St  OB,,33.931556,-84.225795000000005,,,0,,0
1926,202,Buford Hwy & Steve Dr OB,,33.920743000000002,-84.255511999999996,,,0,,0
1927,206,Buford Hwy & Mitchell Rd (Advance Auto) ,,33.940975999999999,-84.208991999999995,,,0,,0
1928,233,Buford Hwy & Langford Rd (Magnolia Plaza,,33.950266999999997,-84.197462999999999,,,0,,0
1929,250,Buford Hwy & Remington Park Ct,,33.964666999999999,-84.179641000000004,,,0,,0
