trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
996020,30,1,"MARIETTA TRANSFER CENTER",,1,1455202,shp-30-52,0,0
1000020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1454502,shp-20-03,0,0
1005010,15,4,"MARIETTA TRANSFER CENTER",,1,1311101,shp-15-51,0,0
1011090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467509,shp-20-03,0,0
1013010,RAPID,4,"MARTA ARTS CENTER STATION with limited stops",,0,1311401,shp-Rapid-01,0,0
1014020,45,1,"KSU-KENNESAW CAMPUS",,0,1457602,shp-45-01,0,0
1015090,10,2,"MARIETTA TRANSFER CENTER",,1,1467609,shp-10-52,0,0
1016020,10,1,"MARTA ARTS CENTER STATION",,0,1452902,shp-10-03,0,0
1021020,10,1,"MARTA ARTS CENTER STATION",,0,1453202,shp-10-03,0,0
1021090,10,2,"MARTA ARTS CENTER STATION",,0,1467109,shp-10-03,0,0
1023070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1322307,shp-Rapid-01,0,0
1026010,10,4,"MARIETTA TRANSFER CENTER",,1,1311301,shp-10-52,0,0
1028090,30,2,"MARIETTA TRANSFER CENTER",,1,1466709,shp-30-51,0,0
1032010,30,4,"MARIETTA TRANSFER CENTER",,1,1311601,shp-30-52,0,0
1034020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1454202,shp-15-01,0,0
1035020,30,1,"MARTA HOLMES STATION",,0,1455702,shp-30-01,0,0
104070,10,3,"MARIETTA TRANSFER CENTER",,1,1322107,shp-10-52,0,0
1041020,30,1,"MARTA HOLMES STATION",,0,1453502,shp-30-01,0,0
1043020,40,1,"KSU-KENNESAW CAMPUS",,0,1457702,shp-40-01,0,0
1044020,30,1,"MARIETTA TRANSFER CENTER",,1,1455402,shp-30-52,0,0
1047010,RAPID,4,"KSU-KENNESAW CAMPUS with limited stops",,1,1310701,shp-Rapid-52,0,0
1050010,40,4,"KSU-KENNESAW CAMPUS",,0,1311001,shp-40-01,0,0
1055020,15,1,"MARIETTA TRANSFER CENTER",,1,1455302,shp-15-51,0,0
1060020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1455102,shp-15-01,0,0
1060090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1469009,shp-15-01,0,0
1061070,25,3,"CUMBERLAND TRANSFER CENTER",,1,1324807,shp-25-01,0,0
1063010,25,4,"CUMBERLAND TRANSFER CENTER",,1,1310301,shp-25-01,0,0
1075090,RAPID,2,"KSU-KENNESAW CAMPUS with limited stops",,1,1471109,shp-Rapid-52,0,0
1079020,RAPID,1,"KSU-KENNESAW CAMPUS with limited stops",,1,1457202,shp-Rapid-52,0,0
1080090,RAPID,2,"MARTA ARTS CENTER STATION with limited stops",,0,1471609,shp-Rapid-01,0,0
108020,20,1,"MARIETTA TRANSFER CENTER",,1,1453602,shp-20-54,0,0
1082010,20,4,"MARIETTA TRANSFER CENTER",,1,1311201,shp-20-54,0,0
1088090,RAPID,2,"MARTA ARTS CENTER STATION with limited stops",,0,1471609,shp-Rapid-01,0,0
1090020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1453302,shp-20-03,0,0
1090090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467209,shp-20-03,0,0
109020,50,1,"CUMBERLAND TRANSFER CENTER",,0,1453902,shp-50-01,0,0
1094020,100,1,"TOWN CENTER PARK-N-RIDE",,1,1456102,shp-100-52,0,0
1095020,10,1,"MARTA ARTS CENTER STATION",,0,1454302,shp-10-03,0,0
1096020,30,1,"MARTA HOLMES STATION",,0,1455202,shp-30-01,0,0
1097090,30,2,"MARTA HOLMES STATION",,0,1466609,shp-30-01,0,0
1100020,40,1,"MARIETTA TRANSFER CENTER",,1,1457902,shp-40-51,0,0
110020,50,1,"MARIETTA TRANSFER CENTER",,1,1454402,shp-50-51,0,0
110090,50,2,"MARIETTA TRANSFER CENTER",,1,1468309,shp-50-51,0,0
1102020,50,1,"CUMBERLAND TRANSFER CENTER",,0,1454402,shp-50-01,0,0
1102090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468309,shp-50-01,0,0
1103010,15,4,"MARIETTA TRANSFER CENTER",,1,1311101,shp-15-51,0,0
1110090,30,2,"MARTA HOLMES STATION",,0,1469309,shp-30-01,0,0
1114020,50,1,"CUMBERLAND TRANSFER CENTER",,0,1453902,shp-50-01,0,0
1114090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1467809,shp-50-01,0,0
